id,id_genero,titulo,resumo,lancamento,idioma_original,poster
372754,"[10749, 16]",Dou kyu sei – Classmates,"Rihito Sajo, an honor student with a perfect score on the entrance exam and Hikaru Kusakabe, in a band and popular among girls, would have never crossed paths. Until one day they started talking at the practice for their school’s upcoming chorus festival. After school, the two meet regularly, as Hikaru helps Rihito to improve his singing skills. While they listen to each other’s voice and harmonize, their hearts start to beat together.",2016-02-20,ja,/cIfRCA5wEvj9tApca4UDUagQEiM.jpg
11216,"[18, 10749]",Cinema Paradiso,"A filmmaker recalls his childhood, when he fell in love with the movies at his village's theater and formed a deep friendship with the theater's projectionist.",1988-11-17,it,/8SRUfRUi6x4O68n0VCbDNRa6iGL.jpg
346,"[28, 18]",Seven Samurai,"A samurai answers a village's request for protection after he falls on hard times. The town needs protection from bandits, so the samurai gathers six others to help him teach the people how to defend themselves, and the villagers provide the soldiers with food.",1954-04-26,ja,/8OKmBV5BUFzmozIC3pPWKHy17kx.jpg
696374,[10749],Gabriel's Inferno,"An intriguing and sinful exploration of seduction, forbidden love, and redemption, Gabriel's Inferno is a captivating and wildly passionate tale of one man's escape from his own personal hell as he tries to earn the impossible--forgiveness and love.",2020-05-29,en,/oyG9TL7FcRP4EZ9Vid6uKzwdndz.jpg
637,"[35, 18]",Life Is Beautiful,A touching story of an Italian book seller of Jewish ancestry who lives in his own little fairy tale. His creative and happy life would come to an abrupt halt when his entire family is deported to a concentration camp during World War II. While locked up he tries to convince his son that the whole thing is just a game.,1997-12-20,it,/mfnkSeeVOBVheuyn2lo4tfmOPQb.jpg
995133,"[16, 10751, 12, 14]","The Boy, the Mole, the Fox and the Horse","The unlikely friendship of a boy, a mole, a fox and a horse traveling together in the boy’s search for home.",2022-12-25,en,/oQRgyQCzcyZvE6w5heM9ktVY0LT.jpg
12477,"[16, 18, 10752]",Grave of the Fireflies,"In the final months of World War II, 14-year-old Seita and his sister Setsuko are orphaned when their mother is killed during an air raid in Kobe, Japan. After a falling out with their aunt, they move into an abandoned bomb shelter. With no surviving relatives and their emergency rations depleted, Seita and Setsuko struggle to survive.",1988-04-16,ja,/k9tv1rXZbOhH7eiCk378x61kNQ1.jpg
539,"[27, 18, 53]",Psycho,"When larcenous real estate clerk Marion Crane goes on the lam with a wad of cash and hopes of starting a new life, she ends up at the notorious Bates Motel, where manager Norman Bates cares for his housebound mother.",1960-06-22,en,/yz4QVqPx3h1hD1DfqqQkCq3rmxW.jpg
311,"[18, 80]",Once Upon a Time in America,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.",1984-05-23,en,/i0enkzsL5dPeneWnjl1fCWm6L7k.jpg
620249,"[16, 14, 28]",The Legend of Hei,"When cat spirit Luo Xiaohei's home is deforested by humans, he must find a new one. He runs into a group of other spirit creatures who take him under their wing with dreams of reconquering the land they say is rightfully theirs. However, they run into a human known as Wuxian who separates Luo Xiaohei from the other spirits and the two go on a journey, with the cat spirit learning to control his abilities as well as forming his own thoughts on whether or not he should ally with the spirits or the humans.",2019-08-27,zh,/aLv87NgRJUPkQ6sVLP72IisDdt4.jpg
